place,movie_title,rating,year,star_cast
59,Sunset Blvd,8.382959066296777,1950,"Billy Wilder (dir.), William Holden, Gloria Swanson"
60,Paths of Glory,8.371654702371664,1957,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker"
61,Top Gun: Maverick,8.367532971904003,2022,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly"
62,The Shining,8.367053701841794,1980,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall"
63,The Great Dictator,8.366002554222284,1940,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
64,Witness for the Prosecution,8.359164796428619,1957,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich"
65,Avengers: Infinity War,8.358931648837698,2018,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth"
66,Aliens,8.344530010982677,1986,"James Cameron (dir.), Sigourney Weaver, Michael Biehn"
67,American Beauty,8.33586062051954,1999,"Sam Mendes (dir.), Kevin Spacey, Annette Bening"
68,Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.332120858507288,1964,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott"
69,Spider-Man: Into the Spider-Verse,8.331456298244111,2018,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson"
70,The Dark Knight Rises,8.32809409298048,2012,"Christopher Nolan (dir.), Christian Bale, Tom Hardy"
71,Oldeuboi,8.320155036730315,2003,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-tae"
72,Joker,8.317564558066316,2019,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro"
73,Amadeus,8.315950126450046,1984,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce"
74,Braveheart,8.315301118929797,1995,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau"
75,Toy Story,8.314973725152262,1995,"John Lasseter (dir.), Tom Hanks, Tim Allen"
76,Coco,8.313385522762717,2017,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal"
77,Inglourious Basterds,8.313128042706174,2009,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger"
78,Das Boot,8.31269978754476,1981,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer"
79,Mononoke-hime,8.303561634343486,1997,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida"
80,Avengers: Endgame,8.303202252283747,2019,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans"
81,Once Upon a Time in America,8.297962252629702,1984,"Sergio Leone (dir.), Robert De Niro, James Woods"
82,Good Will Hunting,8.288208175643023,1997,"Gus Van Sant (dir.), Robin Williams, Matt Damon"
83,Kimi no na wa,8.277634389869146,2016,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi"
84,Requiem for a Dream,8.275700808794335,2000,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto"
85,Toy Story 3,8.275535519002444,2010,"Lee Unkrich (dir.), Tom Hanks, Tim Allen"
86,Singin' in the Rain,8.273562328059691,1952,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor"
87,3 Idiots,8.27121526372794,2009,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan"
88,Star Wars: Episode VI - Return of the Jedi,8.266998439400684,1983,"Richard Marquand (dir.), Mark Hamill, Harrison Ford"
89,Tengoku to jigoku,8.266655341740647,1963,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada"
90,2001: A Space Odyssey,8.264133912190438,1968,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood"
91,Eternal Sunshine of the Spotless Mind,8.263429412602363,2004,"Michel Gondry (dir.), Jim Carrey, Kate Winslet"
92,Reservoir Dogs,8.263083716542248,1992,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth"
93,Capharnaüm,8.25973936453502,2018,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw"
94,Lawrence of Arabia,8.25595258022232,1962,"David Lean (dir.), Peter O'Toole, Alec Guinness"
95,Citizen Kane,8.255875762102296,1941,"Orson Welles (dir.), Orson Welles, Joseph Cotten"
96,Jagten,8.255863768250407,2012,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen"
97,M - Eine Stadt sucht einen Mörder,8.254178269652893,1931,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann"
98,North by Northwest,8.252035147688211,1959,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint"
99,Idi i smotri,8.248212273523473,1985,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova"
10, Vertigo,8.246679809898367,1958,"Alfred Hitchcock (dir.), James Stewart, Kim Novak"
101,Le fabuleux destin d'Amélie Poulain,8.244385209779423,2001,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz"
102,A Clockwork Orange,8.24307669577948,1971,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee"
103,Double Indemnity,8.23968621934744,1944,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck"
104,Full Metal Jacket,8.239499338853006,1987,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey"
105,The Apartment,8.239104391692221,1960,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine"
106,Scarface,8.235540397332095,1983,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer"
107,Ikiru,8.235235180570863,1952,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko"
108,The Sting,8.228592728251916,1973,"George Roy Hill (dir.), Paul Newman, Robert Redford"
109,To Kill a Mockingbird,8.228552181729999,1962,"Robert Mulligan (dir.), Gregory Peck, John Megna"
110,Taxi Driver,8.225374071529899,1976,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster"
111,Heat,8.225051272841586,1995,"Michael Mann (dir.), Al Pacino, Robert De Niro"
112,Up,8.22471632167921,2009,"Pete Docter (dir.), Edward Asner, Jordan Nagai"
113,LA Confidential,8.222822239431622,1997,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe"
114,Incendies,8.22167582954976,2010,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin"
115,Metropolis,8.221573116362418,1927,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel"
116,Jodaeiye Nader az Simin,8.221255449823435,2011,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami"
117,Die Hard,8.219880962813226,1988,"John McTiernan (dir.), Bruce Willis, Alan Rickman"
118,Hamilton,8.219784019547483,2020,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo"
119,Snatch,8.219748688990455,2000,"Guy Ritchie (dir.), Jason Statham, Brad Pitt"
120,Indiana Jones and the Last Crusade,8.218248685857297,1989,"Steven Spielberg (dir.), Harrison Ford, Sean Connery"
121,Ladri di biciclette,8.218158364455949,1948,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola"
122,1917,8.211735920502491,2019,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay"
123,Taare Zameen Par,8.20889827864247,2007,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan"
124,Der Untergang,8.204572228219424,2004,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara"
125,Per qualche dollaro in più,8.202426846338634,1965,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef"
126,Batman Begins,8.201044944243296,2005,"Christopher Nolan (dir.), Christian Bale, Michael Caine"
127,Dangal,8.199149031464284,2016,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar"
128,The Kid,8.193833509852224,1921,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance"
129,Some Like It Hot,8.192218674236718,1959,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis"
130,All About Eve,8.181407245448634,1950,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter"
131,The Father,8.180891015457608,2020,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman"
132,Green Book,8.175226338197694,2018,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali"
133,The Wolf of Wall Street,8.173559497884359,2013,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill"
134,Spider-Man: No Way Home,8.17150991792742,2021,"Jon Watts (dir.), Tom Holland, Zendaya"
135,Judgment at Nuremberg,8.170544215707041,1961,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster"
136,Ran,8.165100670645776,1985,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao"
137,Casino,8.164109783873782,1995,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone"
138,Unforgiven,8.163387603511463,1992,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman"
139,Pan's Labyrinth,8.162492688959759,2006,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil"
140,There Will Be Blood,8.156895696612112,2007,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano"
141,The Truman Show,8.154369166895073,1998,"Peter Weir (dir.), Jim Carrey, Ed Harris"
142,The Sixth Sense,8.154093807151634,1999,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment"
143,A Beautiful Mind,8.152536264061673,2001,"Ron Howard (dir.), Russell Crowe, Ed Harris"
144,Monty Python and the Holy Grail,8.150488900103886,1975,"Terry Gilliam (dir.), Graham Chapman, John Cleese"
145,Yôjinbô,8.149763148366779,1961,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno"
146,The Treasure of the Sierra Madre,8.148980311067312,1948,"John Huston (dir.), Humphrey Bogart, Walter Huston"
147,Shutter Island,8.146046602327509,2010,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer"
148,Jurassic Park,8.145192250089764,1993,"Steven Spielberg (dir.), Sam Neill, Laura Dern"
149,The Great Escape,8.142369658907908,1963,"John Sturges (dir.), Steve McQueen, James Garner"
150,Rashômon,8.142225841668276,1950,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô"
151,Kill Bill: Vol 1,8.13795455250972,2003,"Quentin Tarantino (dir.), Uma Thurman, David Carradine"
152,No Country for Old Men,8.137177244871758,2007,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem"
153,Finding Nemo,8.131676004289409,2003,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres"
154,The Elephant Man,8.130125158666269,1980,"David Lynch (dir.), Anthony Hopkins, John Hurt"
155,Chinatown,8.129520228270078,1974,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway"
156,Raging Bull,8.128751548323006,1980,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty"
157,The Thing,8.12752984247743,1982,"John Carpenter (dir.), Kurt Russell, Wilford Brimley"
158,Gone with the Wind,8.125759024539835,1939,"Victor Fleming (dir.), Clark Gable, Vivien Leigh"
159,V for Vendetta,8.125089546924396,2005,"James McTeigue (dir.), Hugo Weaving, Natalie Portman"
160,Inside Out,8.12351473932016,2015,"Pete Docter (dir.), Amy Poehler, Bill Hader"
161,"Lock, Stock and Two Smoking Barrels",8.12259171774727,1998,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher"
162,Dial M for Murder,8.120339712876937,1954,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly"
163,El secreto de sus ojos,8.117665275381633,2009,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil"
164,Hauru no ugoku shiro,8.114773659248362,2004,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura"
165,The Bridge on the River Kwai,8.113771061396099,1957,"David Lean (dir.), William Holden, Alec Guinness"
166,"Three Billboards Outside Ebbing, Missouri",8.11150383086385,2017,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson"
167,Trainspotting,8.11099903921379,1996,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner"
168,Warrior,8.104323091744128,2011,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte"
169,Gran Torino,8.104159888788358,2008,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang"
170,Fargo,8.103208690148735,1996,"Joel Coen (dir.), William H. Macy, Frances McDormand"
171,Prisoners,8.098503849826045,2013,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal"
172,Tonari no Totoro,8.094233905355134,1988,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka"
173,Million Dollar Baby,8.089755394474325,2004,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood"
174,Catch Me If You Can,8.088104818851495,2002,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks"
175,The Gold Rush,8.086808011469671,1925,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain"
176,Blade Runner,8.085537858220494,1982,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer"
177,On the Waterfront,8.083848533724378,1954,"Elia Kazan (dir.), Marlon Brando, Karl Malden"
178,Bacheha-Ye aseman,8.082974189613015,1997,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian"
179,The Third Man,8.08110464712666,1949,"Carol Reed (dir.), Orson Welles, Joseph Cotten"
180,Before Sunrise,8.079140338536508,1995,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
181,Ben-Hur,8.079064617676393,1959,"William Wyler (dir.), Charlton Heston, Jack Hawkins"
182,12 Years a Slave,8.078706352425915,2013,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams"
183,Smultronstället,8.077998059168197,1957,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson"
184,Harry Potter and the Deathly Hallows: Part 2,8.077477122606723,2011,"David Yates (dir.), Daniel Radcliffe, Emma Watson"
185,Gone Girl,8.07746237547244,2014,"David Fincher (dir.), Ben Affleck, Rosamund Pike"
186,The General,8.077382632433789,1926,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack"
187,Everything Everywhere All at Once,8.07721120623592,2022,"Dan Kwan (dir.), Michelle Yeoh, Stephanie Hsu"
188,The Deer Hunter,8.07540613903448,1978,"Michael Cimino (dir.), Robert De Niro, Christopher Walken"
189,In the Name of the Father,8.073884772073589,1993,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite"
190,The Grand Budapest Hotel,8.073557145400917,2014,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham"
191,Barry Lyndon,8.071199993311087,1975,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson"
192,Mr Smith Goes to Washington,8.070694983809446,1939,"Frank Capra (dir.), James Stewart, Jean Arthur"
193,Le salaire de la peur,8.07043372722985,1953,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel"
194,Sherlock Jr,8.068985521105299,1924,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire"
195,Hacksaw Ridge,8.068915462275752,2016,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington"
196,Salinui chueok,8.068766258592108,2003,"Bong Joon Ho (dir.), Song Kang-ho, Kim Sang-kyung"
197,Klaus,8.068095930484844,2019,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons"
198,Relatos salvajes,8.066434538470801,2014,"Damián Szifron (dir.), Darío Grandinetti, María Marull"
199,Det sjunde inseglet,8.06566586716479,1957,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand"
200,Room,8.065486033961399,2015,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay"
201,Mad Max: Fury Road,8.06288526195405,2015,"George Miller (dir.), Tom Hardy, Charlize Theron"
202,How to Train Your Dragon,8.061882084203686,2010,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler"
203,The Big Lebowski,8.061442816740144,1998,"Joel Coen (dir.), Jeff Bridges, John Goodman"
204,Mary and Max,8.06088194399482,2009,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman"
205,"Monsters, Inc",8.059624588326864,2001,"Pete Docter (dir.), Billy Crystal, John Goodman"
206,Jaws,8.059129768894477,1975,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw"
207,Tôkyô monogatari,8.05465797127801,1953,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama"
208,Dead Poets Society,8.054361471240542,1989,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard"
209,La passion de Jeanne d'Arc,8.05388599037725,1928,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain"
210,Hotel Rwanda,8.05217005539387,2004,"Terry George (dir.), Don Cheadle, Sophie Okonedo"
211,Rocky,8.047569987744415,1976,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire"
212,Ford v Ferrari,8.047426196239027,2019,"James Mangold (dir.), Matt Damon, Christian Bale"
213,Platoon,8.046877334758713,1986,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger"
214,Pather Panchali,8.0428782954471,1955,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee"
215,Stand by Me,8.041892768973279,1986,"Rob Reiner (dir.), Wil Wheaton, River Phoenix"
216,The Terminator,8.041536360559997,1984,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
217,Spotlight,8.03997966457854,2015,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton"
218,Rush,8.038506878142657,2013,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth"
219,Logan,8.037448491464126,2017,"James Mangold (dir.), Hugh Jackman, Patrick Stewart"
220,Network,8.036590986418542,1976,"Sidney Lumet (dir.), Faye Dunaway, William Holden"
221,Ratatouille,8.035829621537534,2007,"Brad Bird (dir.), Brad Garrett, Lou Romano"
222,Into the Wild,8.035511577742858,2007,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn"
223,The Wizard of Oz,8.034540836101458,1939,"Victor Fleming (dir.), Judy Garland, Frank Morgan"
224,Groundhog Day,8.03167820559012,1993,"Harold Ramis (dir.), Bill Murray, Andie MacDowell"
225,Before Sunset,8.03004398607835,2004,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
226,The Exorcist,8.02782170665908,1973,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow"
227,The Best Years of Our Lives,8.02677163277911,1946,"William Wyler (dir.), Myrna Loy, Dana Andrews"
228,The Incredibles,8.025678222596703,2004,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson"
229,To Be or Not to Be,8.0245583886295,1942,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny"
230,La battaglia di Algeri,8.022940252457282,1966,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin"
231,The Grapes of Wrath,8.022878766938753,1940,"John Ford (dir.), Henry Fonda, Jane Darwell"
232,Rebecca,8.022349508738067,1940,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine"
233,Hachi: A Dog's Tale,8.021992843230816,2009,"Lasse Hallström (dir.), Richard Gere, Joan Allen"
234,Cool Hand Luke,8.021387831762215,1967,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy"
235,Amores perros,8.020961665481007,2000,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal"
236,Pirates of the Caribbean: The Curse of the Black Pearl,8.020821709558213,2003,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush"
237,La haine,8.018495519453044,1995,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé"
238,Babam ve Oglum,8.016163030310233,2005,"Cagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan"
239,Les quatre cents coups,8.016064246637859,1959,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy"
240,Jai Bhim,8.014842106205398,2021,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose"
241,It Happened One Night,8.014494045795514,1934,"Frank Capra (dir.), Clark Gable, Claudette Colbert"
242,Persona,8.014426811971916,1966,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann"
243,The Sound of Music,8.013098052371156,1965,"Robert Wise (dir.), Julie Andrews, Christopher Plummer"
244,Life of Brian,8.012844187142077,1979,"Terry Jones (dir.), Graham Chapman, John Cleese"
245,Ah-ga-ssi,8.011011677525815,2016,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo"
246,Dersu Uzala,8.010234553405699,1975,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin"
247,Aladdin,8.005920412567857,1992,"Ron Clements (dir.), Scott Weinger, Robin Williams"
248,Gandhi,8.005651853545459,1982,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud"
249,The Help,8.00510572057933,2011,"Tate Taylor (dir.), Emma Stone, Viola Davis"
250,The Iron Giant,8.00275091575018,1999,"Brad Bird (dir.), Eli Marienthal, Harry Connick Jr."
